2k_twolevel1201_CUDA_BFS2, start_time:1462770058, end_time:1462770079, run_time:21, exit_point:2, kernel_count:5
4k_twolevel301_CUDA_BFS2, start_time:1462770069, end_time:1462770079, run_time:10, exit_point:2, kernel_count:3
4k_lrr_CUDA_BFS2, start_time:1462770073, end_time:1462770080, run_time:7, exit_point:2, kernel_count:2
4k_twolevel601_CUDA_BFS2, start_time:1462770068, end_time:1462770081, run_time:13, exit_point:2, kernel_count:4
4k_gto_CUDA_BFS2, start_time:1462770070, end_time:1462770081, run_time:11, exit_point:2, kernel_count:3
4k_twolevel1201_CUDA_BFS2, start_time:1462770068, end_time:1462770081, run_time:13, exit_point:2, kernel_count:4
4k_lrr_CUDA_LPS, start_time:1462769748, end_time:1462770081, run_time:333, exit_point:2, kernel_count:1
4k_twolevel301_CUDA_BFS2, start_time:1462770069, end_time:1462770082, run_time:13, exit_point:2, kernel_count:4
2k_twolevel1201_CUDA_BFS2, start_time:1462770058, end_time:1462770083, run_time:25, exit_point:2, kernel_count:6
4k_gto_CUDA_BFS2, start_time:1462770070, end_time:1462770083, run_time:13, exit_point:2, kernel_count:4
4k_lrr_CUDA_BFS2, start_time:1462770073, end_time:1462770084, run_time:11, exit_point:2, kernel_count:3
1
2k_lrr_CUDA_CP, start_time:1462769702, end_time:1462770085, run_time:383, exit_point:2, kernel_count:1
4k_lrr_CUDA_BFS2, start_time:1462770073, end_time:1462770086, run_time:13, exit_point:2, kernel_count:4
2k_gto_CUDA_LPS, start_time:1462769744, end_time:1462770087, run_time:343, exit_point:2, kernel_count:1
4k_twolevel601_CUDA_JPEG, start_time:1462770048, end_time:1462770087, run_time:39, exit_point:2, kernel_count:1
2k_twolevel1201_CUDA_LPS, start_time:1462769747, end_time:1462770089, run_time:342, exit_point:2, kernel_count:1
4k_twolevel1201_CUDA_JPEG, start_time:1462770048, end_time:1462770090, run_time:42, exit_point:2, kernel_count:1
4k_twolevel601_CUDA_BFS2, start_time:1462770068, end_time:1462770090, run_time:22, exit_point:2, kernel_count:5
4k_twolevel301_CUDA_BFS2, start_time:1462770069, end_time:1462770090, run_time:21, exit_point:2, kernel_count:5
4k_twolevel1201_CUDA_BFS2, start_time:1462770068, end_time:1462770090, run_time:22, exit_point:2, kernel_count:5
